a,b,c,root
3,12,-37,2.041
20,-85,66,3.228
12,-50,-52,5.028
45,-9,-99,1.587
35,-84,24,2.068
64,-27,-88,1.402
-33,59,-7,1.66
65,-34,-51,1.185
8,-92,-24,11.755
55,-98,-58,2.25
-22,83,-55,2.915
-11,37,30,4.039
-26,2,57,1.52
16,-37,-84,3.723
-52,48,57,1.606
99,-55,-48,1.027
-31,94,-27,2.711
-76,30,93,1.321
56,-26,-92,1.535
4,-47,1,11.729
-6,-39,100,1.968
-18,-10,48,1.379
24,-73,-93,4.008
1,-21,37,19.059
27,-91,56,2.56
17,-28,-15,2.073
-73,84,24,1.388
68,-48,-64,1.385
-10,17,48,3.2
7,-100,77,13.469
-65,32,48,1.14
-24,32,56,2.333
17,-77,-77,5.372
59,-72,-26,1.512
14,5,-74,2.127
58,-79,15,1.134
25,-89,-62,4.157
-9,-59,87,1.24
-82,11,85,1.087
-2,-34,69,1.832
23,39,-78,1.18
73,-72,-79,1.644
-53,33,80,1.579
87,-91,-48,1.431
-48,97,12,2.138
-11,30,20,3.281
44,-82,-22,2.102
32,-61,-43,2.454
80,-84,-54,1.5
-93,61,47,1.111
-59,47,25,1.161
-14,-27,56,1.256
-50,49,10,1.153
-98,27,74,1.018
-12,-14,50,1.54
-39,-8,91,1.428
-98,87,66,1.377
-9,27,13,3.422
-3,63,16,21.251
26,-47,-73,2.808
33,-6,-45,1.262
-33,50,11,1.71
30,-35,-29,1.727
-55,56,91,1.892
57,-70,-56,1.78
-33,99,-38,2.548
-58,80,6,1.451
-12,58,90,6.069
-49,93,6,1.96
12,15,-71,1.886
87,-10,-87,1.059
12,15,-64,1.767
-33,37,6,1.265
-31,70,35,2.679
27,-78,-76,3.658
-48,64,86,2.162
-1,29,-47,27.277
-12,37,-26,2
1,-80,23,79.711
50,-51,-72,1.814
-14,96,-1,6.847
33,-91,-10,2.863
10,-6,-7,1.189
-13,86,-82,5.46
-4,-66,87,1.227
37,-84,-86,3.036
-45,-3,65,1.169
-11,94,9,8.64
15,-24,-52,2.826
-62,41,47,1.262
-62,99,10,1.692
-38,68,56,2.403
-29,84,55,3.447
11,-39,-83,5.042
1,-88,71,87.186
50,-90,-41,2.177
-39,65,18,1.908
-35,95,-28,2.378
-16,39,89,3.874
42,-81,-65,2.538
-88,78,18,1.076
-7,88,-59,11.861
-76,26,68,1.132
89,-84,-5,1
53,-10,-83,1.349
-31,66,61,2.825
-67,40,62,1.306
1,17,18,-1.135
-22,93,100,5.116
13,10,-38,1.368
-82,53,38,1.077
-43,30,96,1.883
-24,83,6,3.529
2,-97,79,47.671
-4,-43,-57,-1.549
2,-82,38,40.531
78,-54,-60,1.289
-15,42,21,3.233
51,-74,21,1.064
30,-64,-53,2.771
-16,-48,100,1.415
6,-92,54,14.722
70,-76,-7,1.171
31,11,-89,1.526
21,-10,-78,2.18
-9,86,96,10.565
-23,97,15,4.367
-31,77,-23,2.137
-22,-69,97,1.053
12,-87,70,6.328
2,-11,-38,7.904
-1,46,-30,45.338
-51,94,61,2.352
-11,-82,-93,-1.395
20,35,-87,1.387
-41,68,93,2.549
1,-14,-98,19.124
-70,73,4,1.095
66,-100,1,1.505
-34,84,43,2.906
98,-59,-56,1.115
23,16,-96,1.725
3,44,47,-1.16
13,-79,78,4.836
42,-75,25,1.342
-58,96,33,1.947
-82,83,8,1.101
-44,74,57,2.256
19,-38,-13,2.298
52,-45,-11,1.064
26,-13,-25,1.262
-81,15,75,1.059
-84,72,98,1.591
-26,66,4,2.598
-27,-2,73,1.608
-37,22,82,1.815
-47,86,69,2.433
-70,100,14,1.557
99,-64,-92,1.34
-7,-63,-82,-1.578
-5,37,72,9
-91,73,42,1.19
4,-92,80,22.095
-31,96,-2,3.076
-16,-45,70,1.114
-1,60,-96,58.355
34,-95,-79,3.465
17,-14,-32,1.844
6,-61,48,9.307
7,-92,37,12.728
19,-38,-22,2.469
-75,43,72,1.308
-47,33,31,1.236
18,-99,70,4.667
52,-44,-79,1.726
-4,-58,-57,-1.06
9,25,-47,1.285
69,-98,-41,1.758
-57,32,73,1.447
-26,-25,99,1.529
-36,72,5,2.067
23,-17,-77,2.236
-59,-22,100,1.129
55,-48,-83,1.74
-38,55,85,2.385
-19,-37,86,1.366
40,-94,-17,2.519
-87,94,79,1.636
-40,75,5,1.939
1,-49,-13,49.264
38,-11,-40,1.181
7,-90,42,12.372
20,-45,23,1.465
-23,68,-14,2.734
2,-73,5,36.431
13,-31,-64,3.711
13,-60,-77,5.662
21,-59,-67,3.677
41,-99,-28,2.67
-46,44,78,1.865
-91,95,26,1.269
10,79,87,-1.323
52,-54,-86,1.906
-20,65,91,4.307
94,-84,-80,1.472
-75,98,97,1.965
6,-22,-71,5.731
59,-8,-57,1.053
-33,68,22,2.345
-41,95,37,2.657
62,-76,-25,1.495
-42,85,-37,1.39
98,-71,-92,1.397
29,-48,-86,2.738
84,-95,8,1.039
65,-98,7,1.433
-66,97,-17,1.266
-84,56,81,1.37
62,-30,-63,1.279
65,-98,-91,2.157
-68,84,5,1.292
-84,48,46,1.079
-19,75,84,4.858
-1,47,-80,45.231
79,-63,-35,1.175
57,-37,-76,1.524
-51,27,41,1.2
-24,78,-46,2.476
21,-75,-70,4.34
10,-60,21,5.627
-10,46,20,5
49,-68,-68,2.061
-2,82,27,41.327
-25,75,76,3.8
-51,12,76,1.344
17,-8,-37,1.729
51,-89,37,1.062
85,-89,-48,1.439
-3,-41,-41,-1.086
-79,42,55,1.142
-3,91,-19,30.123
95,-30,-73,1.049
45,-36,-99,1.936
-77,-12,89,1
-41,-9,86,1.343
-36,80,97,3.093
4,-63,18,15.459
-58,94,78,2.225
71,-77,-65,1.642
4,-88,20,21.77
-58,6,69,1.144
-4,-39,59,1.331
41,-26,-55,1.518
-18,28,-7,1.243
-12,-19,95,2.131
79,-90,-98,1.821
-67,74,49,1.57
59,-41,-28,1.119
-19,54,19,3.159
21,96,92,-1.367
-19,82,37,4.728
90,-52,-42,1.031
-83,67,80,1.465
-9,67,-50,6.603
86,-87,-30,1.283
-45,33,85,1.789
18,-49,-19,3.066
-27,65,66,3.177
78,-56,-34,1.11
42,-60,-72,2.206
-3,79,-82,25.251
-32,59,-24,1.238
-58,10,57,1.081
-93,44,88,1.238
85,-64,-39,1.151
-29,-12,93,1.596
6,43,-78,1.5
47,-33,-46,1.401
68,-54,-46,1.31
-2,84,81,42.943
36,-59,-46,2.216
1,-12,-94,17.402
-68,32,94,1.434
-63,28,79,1.364
21,-96,96,3.094
-52,35,19,1.028
-6,-63,-99,-1.924
-10,50,92,6.431
31,-99,-45,3.597
72,13,-97,1.074
-67,-15,87,1.033
65,-18,-93,1.343
-99,66,50,1.118
41,-54,-60,2.036
-39,65,98,2.624
-61,43,81,1.557
30,52,-87,1.044
-79,31,100,1.338
4,-33,16,7.733
38,-1,-39,1.026
5,39,-94,1.932
21,17,-95,1.76
2,81,94,-1.196
-89,78,74,1.45
-70,13,90,1.231
-27,-11,92,1.653
16,-52,-25,3.675
-39,82,84,2.857
-39,81,89,2.872
-46,68,72,2.192
-50,13,62,1.251
93,-66,-59,1.227
30,-29,-85,2.235
-23,58,-31,1.753
-32,52,-5,1.522
68,-33,-78,1.341
4,-85,41,20.756
38,-90,22,2.092
2,-26,-43,14.484
92,-57,-94,1.367
86,-73,-39,1.22
-98,11,97,1.053
-14,-1,28,1.379
79,-93,-20,1.363
-10,61,-26,5.639
4,56,-95,1.529
-43,57,44,1.872
-67,35,60,1.243
-5,-75,-77,-1.109
16,-12,-95,2.84
-16,10,99,2.82
76,-50,-26,1
-49,-3,97,1.377
-14,9,19,1.53
50,-41,-9,1
-5,13,15,3.466
-33,43,-2,1.255
52,-99,-77,2.497
-31,6,66,1.559
42,-6,-98,1.601
94,-65,-94,1.404
-77,69,44,1.327
38,-74,-2,1.974
-76,62,68,1.438
19,-64,-82,4.359
45,45,-98,1.058
-47,84,88,2.528
-46,84,83,2.537
-64,44,37,1.178
-68,91,-13,1.176
-4,-23,73,2.274
-1,-53,86,1.576
2,8,-10,1
10,79,85,-1.285
-24,65,39,3.214
-75,69,33,1.267
-65,72,6,1.186
-13,82,-23,6.013
66,-73,-2,1.133
22,-19,-55,2.071
-8,55,-92,4
81,-86,-78,1.647
88,-59,-49,1.153
-60,87,58,1.947
75,-14,-69,1.057
50,-83,-36,2.017
-37,42,50,1.861
10,-53,-96,6.727
-6,35,-20,5.191
17,24,-47,1.1
-99,82,86,1.434
61,-96,-88,2.223
-13,-28,77,1.584
-29,-50,98,1.168
-13,-13,40,1.324
30,-43,-60,2.302
-35,-3,43,1.066
-100,48,78,1.155
17,6,-33,1.228
-91,45,56,1.07
46,-86,-79,2.545
15,-41,10,2.463
7,58,75,-1.603
-76,30,81,1.248
-13,61,97,5.947
-55,100,-38,1.277
-3,-62,86,1.305
81,-58,-81,1.42
23,-2,-40,1.363
86,-25,-78,1.109
31,-97,49,2.496
15,-63,-18,4.469
27,-97,-28,3.861
76,-16,-69,1.064
-12,78,-94,4.902
-14,-78,-77,-1.282
-19,-97,-89,-1.199
31,-14,-94,1.982
-42,34,20,1.205
-48,58,68,1.939
-13,70,-25,5
83,-52,-82,1.355
-71,86,90,1.884
74,-88,-50,1.609
-54,42,77,1.645
15,21,-83,1.754
25,-10,-78,1.978
5,-24,-85,7.171
99,-68,-93,1.372
-94,91,13,1.094
-67,60,86,1.666
-64,-18,89,1.047
-27,70,86,3.502
-8,-22,55,1.586
-81,72,62,1.426
63,-61,-71,1.651
-27,95,45,3.941
80,-67,-94,1.581
-56,45,17,1.084
-69,79,29,1.437
70,-93,-8,1.41
-35,91,-19,2.371
31,-13,-40,1.365
-68,89,23,1.53
9,-68,78,6.145
-19,17,86,2.621
2,-46,-74,24.51
61,-14,-50,1.027
-79,37,84,1.292
-37,82,74,2.905
49,-80,9,1.511
-9,39,-16,3.874
-23,88,-40,3.299
43,-79,-81,2.57
19,-65,32,2.825
-91,18,81,1.048
51,-79,21,1.208
30,-11,-43,1.395
13,-1,-73,2.408
-15,75,-80,3.457
-1,38,92,40.284
-79,77,83,1.622
-7,96,-91,12.69
82,-15,-74,1.046
49,19,-99,1.241
79,-88,-62,1.603
-52,79,-16,1.279
-1,-24,31,1.229
19,-81,9,4.149
-5,41,77,9.775
41,-22,-28,1.137
7,-82,30,11.336
-28,-99,-85,-1.469
-54,77,28,1.726
-14,-83,-95,-1.55
14,79,71,-1.122
-40,97,-41,1.88
89,-21,-88,1.119
25,-84,43,2.73
-70,68,85,1.69
3,27,-95,2.705
-51,-30,99,1.13
63,-74,-70,1.794
65,-75,-65,1.731
-47,81,38,2.107
1,-67,-8,67.119
2,-87,24,43.222
32,-11,-82,1.782
-2,-18,68,2.865
-21,29,62,2.542
-5,-89,-93,-1.115
98,-83,-47,1.235
-73,54,20,1.011
24,4,-73,1.663
-32,97,16,3.188
12,-69,-48,6.377
34,-8,-98,1.819
81,-41,-92,1.348
-54,80,63,2.05
34,-16,-21,1.056
100,-40,-76,1.094
10,14,-39,1.395
92,-58,-80,1.3
78,-84,-38,1.42
-53,-15,80,1.095
61,-88,-93,2.151
70,-52,-89,1.559
28,-23,-45,1.743
74,-67,-96,1.678
36,-100,1,2.768
-22,42,44,2.661
67,-94,-90,2.056
-5,49,31,10.396
-6,7,8,1.877
-1,73,50,73.679
96,-78,-89,1.451
-22,14,41,1.72
70,-68,-39,1.376
4,-60,87,13.374
30,-46,-11,1.744
50,-4,-71,1.232
-13,-4,82,2.362
90,-55,-65,1.209
-7,-45,-51,-1.469
11,-96,-12,8.851
-36,-21,64,1.073
-55,24,51,1.206
10,-88,28,8.469
46,-69,-99,2.398
19,-53,-45,3.472
10,-46,-75,5.876
-56,45,54,1.463
-55,-7,71,1.074
46,17,-83,1.171
79,-95,-53,1.617
-12,88,-44,6.794
-94,50,69,1.163
-46,83,15,1.97
-63,99,57,2.019
67,-52,-64,1.44
-86,91,4,1.1
-13,4,47,2.061
5,-9,-80,5
24,-2,-24,1.043
28,36,-95,1.308
78,-92,-82,1.773
-42,82,-29,1.489
-10,74,40,7.906
64,-74,-11,1.29
-57,44,67,1.537
-76,47,49,1.17
-27,55,97,3.17
89,-44,-48,1.022
-10,22,53,3.651
55,-83,-64,2.071
-96,85,78,1.447
-14,-40,83,1.394
7,-65,-40,9.865
-22,-7,34,1.094
11,70,-82,1.011
67,-52,-72,1.495
58,-84,-41,1.834
47,-25,-65,1.472
-5,-44,54,1.092
81,-70,-32,1.195
4,-16,-77,6.822
-38,46,72,2.109
16,-87,4,5.391
-77,20,67,1.072
93,-53,-73,1.216
18,-15,-10,1.271
-2,78,67,39.841
50,-98,-60,2.45
54,18,-90,1.135
46,-17,-40,1.135
-41,44,37,1.628
-27,29,71,2.245
-5,62,-11,12.22
-8,-29,64,1.547
10,-18,-12,2.318
59,-72,4,1.162
-10,70,-85,5.436
22,-25,-41,2.047
43,-50,-11,1.352
-4,95,-37,23.354
42,-50,-14,1.424
-66,46,70,1.436
-47,51,99,2.092
-5,33,66,8.208
20,-97,97,3.44
28,-63,3,2.201
-8,-17,99,2.612
66,-69,-35,1.419
75,-31,-82,1.273
37,2,-97,1.592
-46,85,22,2.078
-47,37,93,1.854
-77,93,82,1.8
-23,92,36,4.359
45,-52,-94,2.134
54,-97,-77,2.392
20,-63,-26,3.519
9,-65,-44,7.845
58,-86,25,1.086
10,-77,-84,8.669
35,3,-41,1.04
-1,80,58,80.719
-27,53,2,2
57,-26,-78,1.42
31,-90,-92,3.704
-26,63,7,2.53
-29,81,16,2.978
41,-61,-21,1.776
93,-51,-64,1.148
4,-45,43,10.196
65,6,-72,1.007
-99,56,64,1.135
73,-62,-80,1.554
-83,69,91,1.542
-30,73,-12,2.256
-59,-3,99,1.27
36,-48,-57,2.091
-4,88,46,22.511
29,-1,-100,1.874
-24,40,89,2.932
28,-47,-61,2.537
13,-63,12,4.648
-68,13,67,1.093
31,-12,-64,1.643
-85,97,38,1.45
-14,55,-18,3.568
-33,55,-20,1.131
31,-80,50,1.518
-45,10,93,1.553
47,-62,-44,1.831
-40,78,37,2.345
3,-46,44,14.308
-2,83,-80,40.513
-15,-83,-83,-1.31
-72,78,8,1.178
98,-52,-81,1.212
7,-56,23,7.566
7,-70,71,8.854
2,58,-88,1.445
-23,-49,76,1.042
98,-18,-97,1.091
-35,53,57,2.241
26,-80,24,2.74
15,-8,-50,2.112
5,-34,-99,9
73,-36,-86,1.36
17,21,-96,1.838
6,43,56,-1.711
-18,52,83,4.032
25,-14,-49,1.708
1,-72,-52,72.715
91,-77,-71,1.402
18,-14,-93,2.695
18,-60,-67,4.216
-7,-8,32,1.642
20,14,-82,1.705
95,-70,-97,1.444
-9,96,-65,9.94
-10,71,72,8
35,-93,18,2.447
31,-55,-93,2.833
20,-60,12,2.785
19,-96,-10,5.155
-59,62,36,1.467
59,-83,-2,1.43
7,-17,-46,4.051
27,-66,-78,3.316
-57,68,29,1.526
-2,65,-63,31.5
56,-11,-95,1.404
2,-94,3,46.968
18,-99,-28,5.77
-3,-35,-81,-3.182
47,-75,-38,2
21,-82,36,3.401
32,-73,-96,3.215
8,-78,2,9.724
59,-68,-36,1.547
-30,-22,59,1.083
51,-98,-76,2.514
46,-75,-67,2.272
-19,-59,82,1.041
11,-37,-19,3.816
93,-100,-33,1.34
21,-98,96,3.268
-64,8,76,1.154
28,4,-51,1.28
60,-73,-88,1.964
13,75,90,-1.702
-64,100,53,1.981
43,8,-69,1.177
-38,91,79,3.072
12,55,46,-1.101
80,-68,-75,1.482
-29,88,63,3.633
-26,69,-36,1.94
-12,41,41,4.225
22,-14,-41,1.72
63,-10,-61,1.067
-61,91,77,2.094
-2,23,95,14.726
11,-27,-87,4.296
27,-38,-40,2.11
47,-92,-55,2.438
13,-9,-52,2.376
-19,35,7,2.024
-27,-41,98,1.292
15,-13,-81,2.797
-79,73,91,1.631
35,12,-91,1.45
8,-31,-90,5.811
-85,28,80,1.149
-86,76,15,1.05
2,37,54,-1.597
-15,71,54,5.4
22,-26,-9,1.462
58,-86,-30,1.774
26,6,-81,1.653
-12,-9,82,2.266
-5,57,-100,9.234
-33,100,-18,2.838
36,-86,25,2.05
-62,-6,69,1.008
-52,10,93,1.437
-23,-44,95,1.29
70,-29,-62,1.171
-58,81,77,2.046
10,-78,-65,8.559
-3,-55,67,1.146
-11,-60,74,1.036
98,-100,-48,1.376
77,-77,-51,1.455
52,-79,-17,1.71
1,-11,-37,13.701
14,-66,14,4.492
20,-64,-22,3.513
-16,-80,100,1.036
42,-97,-13,2.437
-52,-20,92,1.152
-31,47,65,2.393
-49,-3,91,1.333
-8,-37,99,1.897
-16,-75,-84,-1.851
30,-18,-71,1.867
49,-85,-87,2.457
-38,75,80,2.742
1,-86,73,85.143
-35,25,44,1.534
-94,83,93,1.53
-37,98,-48,2
-28,43,39,2.176
-20,60,-13,2.765
19,30,-69,1.273
-55,57,90,1.898
-7,79,57,11.966
-24,29,70,2.416
-10,6,64,2.848
6,-93,79,14.598
-5,97,-64,18.716
13,-64,77,2.83
4,-2,-8,1.686
38,-72,19,1.578
15,77,-94,1.019
-49,19,96,1.607
-31,31,31,1.618
49,23,-82,1.08
94,-58,-68,1.213
47,-53,-35,1.595
3,-90,41,29.537
6,56,74,-1.593
-60,98,33,1.92
25,-81,-6,3.312
38,13,-80,1.29
17,-88,-97,6.11
34,-11,-63,1.533
12,-13,-8,1.521
6,-44,-49,8.315
6,-39,-1,6.526
-21,96,45,5
7,-55,14,7.594
-19,23,53,2.382
-91,46,54,1.063
-68,60,73,1.567
-66,95,-28,1.026
9,-31,21,2.518
12,40,-74,1.324
-17,71,96,5.252
2,-27,-53,15.239
67,-90,-95,2.039
-16,59,29,4.127
85,-84,-17,1.161
22,-2,-37,1.343
2,-40,-6,20.149
-88,61,51,1.183
-84,32,82,1.197
-62,7,65,1.082
-3,-34,-51,-1.779
34,-26,-35,1.467
40,-74,-25,2.142
51,-15,-100,1.555
-38,54,-15,1.042
1,-19,-19,19.952
21,-35,7,1.434
-33,89,18,2.886
-29,27,24,1.487
-60,19,58,1.154
1,-93,-85,93.905
-60,42,31,1.149
4,76,-92,1.142
-34,38,53,1.927
-14,48,-27,2.719
60,-32,-38,1.106
-81,63,88,1.501
-75,100,-25,1
28,-78,-21,3.033
81,-68,-100,1.608
-20,61,63,3.865
-23,57,-2,2.443
39,-89,-88,3.027
26,-99,-48,4.243
11,-96,67,7.962
-6,-72,-76,-1.17
-14,-82,-86,-1.369
4,4,-78,3.944
-7,55,-14,7.594
-78,34,98,1.36
-62,90,-21,1.159
-51,16,54,1.198
51,-70,-94,2.207
31,-18,-42,1.49
28,-68,-83,3.321
9,-54,-65,7.028
-13,59,41,5.151
-73,21,57,1.039
1,-69,-97,70.378
56,-83,-8,1.573
-32,37,79,2.252
-73,90,72,1.785
-16,36,19,2.691
-14,99,77,7.779
-49,-29,93,1.113
30,49,-100,1.183
-20,-33,54,1.014
-8,91,-87,10.321
42,-79,-7,1.966
-5,80,-11,15.861
65,-60,-49,1.445
-6,-58,97,1.454
16,-78,5,4.81
-63,60,33,1.343
88,-81,-56,1.381
4,-98,29,24.2
18,-47,-48,3.396
-15,14,22,1.765
-42,38,6,1.042
2,-92,-30,46.324
14,1,-87,2.457
-48,88,-38,1.137
74,-43,-74,1.332
1,-54,14,53.739
-25,75,-38,2.354
-77,78,20,1.225
-32,84,6,2.695
-19,82,-44,3.688
5,70,90,-1.432
30,-99,-46,3.713
3,-1,-67,4.895
-65,55,18,1.098
28,-35,6,1.045
-7,34,18,5.339
26,-87,72,1.846
-77,42,75,1.297
-98,95,96,1.587
-77,39,75,1.272
-41,18,68,1.526
-100,62,93,1.323
-14,78,95,6.6
-38,79,66,2.718
-27,84,-44,2.444
3,-29,-34,10.724
-71,54,21,1.044
-24,70,-13,2.717
43,-78,-95,2.648
8,-2,-87,3.425
-32,51,11,1.786
-28,54,2,1.965
49,25,-83,1.071
44,-86,-24,2.202
2,52,-93,1.68
-47,98,14,2.219
-55,68,10,1.369
-52,60,85,1.98
6,-93,84,14.537
7,-57,59,6.926
25,-38,-69,2.587
-38,-19,94,1.343
3,-48,-59,17.147
-59,8,52,1.009
-23,14,68,2.051
-10,65,96,7.74
10,-88,-91,9.735
-78,27,93,1.279
-54,72,36,1.721
-25,76,86,3.918
-42,55,32,1.746
27,-3,-72,1.689
-13,-56,70,1.012
64,-95,-100,2.196
32,26,-95,1.364
-85,22,93,1.183
5,-55,-23,11.403
91,-31,-61,1.007
-54,-2,82,1.214
57,-45,-24,1.154
-99,99,72,1.489
57,-19,-91,1.441
92,-38,-87,1.201
43,-39,-78,1.875
-11,58,70,6.285
8,-24,-69,4.798
-5,40,56,9.215
64,-37,-47,1.193
93,-93,-88,1.594
71,-62,-72,1.534
18,-9,-61,2.108
-54,69,-13,1.048
97,-98,-18,1.169
6,44,-53,1.053
11,-54,-19,5.239
77,-42,-38,1.026
-4,27,3,6.859
41,-64,-64,2.254
1,-14,-62,17.536
-69,97,14,1.538
23,56,-82,1.029
90,-11,-88,1.052
-18,70,92,4.926
-19,86,-53,3.79
-74,3,74,1.02
-8,-41,54,1.087
-15,80,19,5.561
-41,56,58,2.054
22,-15,-68,2.132
39,-83,29,1.688
5,-39,-78,9.451
-91,22,72,1.019
83,-20,-70,1.047
47,-76,-42,2.052
-20,23,3,1.268
-25,30,56,2.212
33,-40,-84,2.313
-29,4,91,1.842
58,-86,-100,2.249
18,-41,-88,3.626
-71,68,4,1.013
-21,26,62,2.445
79,-100,-4,1.305
-93,88,74,1.483
-19,64,49,4.011
-37,95,45,2.976
-48,100,-38,1.583
-1,14,60,17.44
56,-63,6,1.02
18,38,-99,1.516
30,-69,-71,3.071
94,-81,-52,1.29
22,26,-60,1.163
78,-58,-99,1.558
-51,84,76,2.296
-37,20,82,1.783
-73,54,20,1.011
22,20,-67,1.349
1,-48,18,47.622
1,37,88,-2.555
60,12,-77,1.037
67,-99,-27,1.713
-56,74,67,1.939
-70,79,67,1.694
-89,78,81,1.488
51,-52,-83,1.884
68,-58,-62,1.472
92,-72,-78,1.392
-18,-77,-79,-1.708
82,-22,-88,1.179
33,45,-83,1.044
-23,30,44,2.181
55,-32,-41,1.202
58,-84,-78,2.091
-37,84,12,2.405
-21,1,29,1.199
-27,97,51,4.058
15,7,-100,2.359
-8,-17,75,2.178
-30,-7,50,1.18
-28,-10,96,1.682
23,-19,-38,1.763
-63,66,60,1.631
-66,98,53,1.906
-70,57,31,1.187
16,-23,-48,2.594
-37,80,75,2.869
92,-48,-44,1
27,-78,-59,3.511
-1,-28,-76,-3.046
18,1,-44,1.536
-4,45,56,12.381
97,-52,-99,1.313
2,-66,3,32.954
54,-76,19,1.082
84,-54,-36,1.051
-20,63,-25,2.684
-8,39,76,6.367
20,-50,-83,3.64
-17,-25,60,1.282
11,33,-77,1.541
19,-88,-16,4.807
-54,81,-23,1.12
71,-92,-86,1.925
-6,21,25,4.439
-43,10,59,1.293
-74,98,32,1.595
-94,49,79,1.214
51,-69,-98,2.219
-100,81,19,1
54,25,-86,1.052
-66,21,82,1.285
-41,-2,44,1.012
59,-43,-34,1.206
3,-81,-53,27.639
43,-97,-88,2.95
55,4,-74,1.124
9,-67,-71,8.385
-12,-58,96,1.304
-23,10,78,2.072
-10,-27,40,1.063
-2,-4,49,4.05
-86,52,86,1.347
-43,35,50,1.56
-69,85,93,1.93
-7,42,-29,5.204
-50,96,-8,1.833
-39,28,72,1.764
1,81,-99,1.204
25,-84,-30,3.686
24,-6,-82,1.978
-5,31,41,7.32
28,-83,13,2.798
2,-18,-44,11
21,-63,-58,3.739
88,-54,-93,1.38
44,-16,-94,1.655
-20,44,47,2.987
-57,64,59,1.723
-27,-18,83,1.451
-72,16,93,1.253
4,49,-98,1.75
-57,7,62,1.106
-27,13,67,1.834
86,-70,-24,1.074
89,-40,-59,1.069
48,-37,-85,1.771
-79,65,82,1.51
22,45,-99,1.332
51,-83,-87,2.353
27,42,-96,1.262
-49,10,76,1.352
-42,72,-4,1.657
84,-13,-98,1.16
-53,-5,86,1.228
-30,17,74,1.879
33,-80,-34,2.793
-9,74,-52,7.446
-62,59,45,1.452
23,-61,-93,3.735
55,-58,-29,1.425
-38,97,83,3.229
67,-57,-99,1.713
15,-25,-82,3.315
-44,40,66,1.761
12,-95,48,7.374
-24,25,92,2.547
32,-75,7,2.246
15,-22,-12,1.89
-7,92,-21,12.91
-8,57,-27,6.615
-24,-52,82,1.059
-61,65,6,1.151
-7,46,58,7.654
8,9,-70,2.449
67,-42,-88,1.502
43,-96,20,2
-8,10,23,2.432
-79,48,55,1.192
-56,57,23,1.327
23,7,-81,1.731
73,-29,-46,1.017
-71,56,31,1.164
-35,96,1,2.753
65,-30,-97,1.474
-69,99,9,1.521
72,-74,-75,1.657
-26,96,63,4.261
63,-97,-100,2.246
-53,79,16,1.671
6,-78,80,11.877
-82,63,100,1.553
65,-66,-81,1.734
7,-23,-7,3.566
20,-36,-56,2.8
-92,57,86,1.325
-20,48,61,3.319
17,-79,-86,5.557
-91,19,89,1.099
-32,45,11,1.619
52,-62,-27,1.531
-91,60,86,1.356
37,-75,9,1.899
20,-59,-68,3.836
4,5,-27,2.047
-45,48,70,1.89
-25,95,-38,3.346
-5,74,-22,14.496
72,-47,-93,1.509
20,-81,23,3.743
18,-38,-43,2.927
-53,16,48,1.115
55,-28,-91,1.566
16,46,-85,1.279
15,73,-90,1.019
79,-100,-66,1.745
-15,-16,67,1.646
11,50,-97,1.467
-17,40,79,3.632
13,-84,1,6.45
9,-7,-79,3.377
-100,75,40,1.11
-32,70,30,2.554
-5,46,21,9.636
-45,32,37,1.33
72,-30,-43,1.009
1,51,-71,1.356
-46,49,28,1.477
24,25,-99,1.576
-3,-79,98,1.187
-16,64,51,4.681
-28,8,80,1.839
80,-64,-22,1.06
-2,-27,92,2.819
30,-79,41,1.922
-52,97,41,2.22
33,-76,25,1.905
67,-25,-83,1.315
18,-29,-89,3.171
-1,26,-90,21.888
-95,99,25,1.252
-59,91,-4,1.497
49,-41,-38,1.393
89,-80,-52,1.336
85,-65,-92,1.491
85,-98,-48,1.524
-1,79,46,79.578
1,-39,95,36.389
-35,55,57,2.284
24,-78,54,2.25
15,-51,-53,4.234
-20,41,-17,1.473
4,49,66,-1.541
55,-69,-56,1.815
-4,74,-88,17.223
11,72,96,-1.864
17,-86,36,4.598
1,-28,75,25
54,-60,-2,1.144
-43,93,67,2.733
-93,99,26,1.283
-18,78,85,5.235
-36,67,43,2.366
-19,87,27,4.871
13,-68,76,3.612
-37,94,42,2.928
-9,61,-39,6.063
-7,82,82,12.641
-18,52,75,3.945
-34,29,88,2.091
5,-11,-56,4.623
-64,13,90,1.292
-71,80,64,1.667
80,-1,-97,1.107
71,8,-88,1.058
28,-99,34,3.15
8,-41,29,4.278
14,-72,85,3.307
-47,86,-35,1.219
76,-11,-74,1.062
37,-100,-54,3.164
17,-84,93,3.266
-58,61,95,1.91
-1,-41,64,1.506
21,-21,-89,2.619
21,-57,-88,3.813
-55,73,68,1.959
6,-93,-50,16.02
-16,-17,63,1.523
-6,89,-20,14.605
-9,16,3,1.949
23,-33,-99,2.913
-24,10,44,1.578
40,-59,-16,1.709
56,-47,-27,1.231
8,-47,-77,7.21
11,-31,-89,4.583
-9,80,42,9.386
-3,-2,86,5.031
47,-89,3,1.859
6,6,-82,3.231
65,-82,-97,2.006
58,-31,-68,1.383
-36,-14,83,1.336
23,6,-54,1.407
-63,74,-5,1.103
-97,10,98,1.058
9,-20,-66,4.038
-22,63,-39,1.958
65,10,-96,1.141
21,-52,-55,3.276
93,-40,-71,1.115
19,-80,46,3.523
67,-2,-67,1.015
-99,93,15,1.08
-13,-53,88,1.267
